__label__0 "hey doc pls i want to get nice t shirt for my hubby nice fiting ones my budget is lt gt k help pls i will load d card abi hw keep me posted luv 2 mj"
__label__0 "watching telugu movie wat abt u"
__label__0 "also remember the beads do come off ever"
__label__0 "my friend just got here and says he upping his order by a few grams he got lt gt when can you get here"
__label__0 "will it help if we propose going back again tomorrow"
__label__0 "am on my way"
__label__1 "customer service annoncement you have a new years delivery waiting for you please call 07046744435 now to arrange delivery"
__label__0 "have a nice day my dear"
__label__0 "hi shanil rakhesh i have exchanged the uncut diamond back excellent service by dino and prem"
__label__0 "cant believe i said so many things to you this morning when all i really wanted to say was good morning i love you have a beautiful morning see you in the library later"
__label__1 "urgent your mobile no 07808726822 was awarded a bonus caller prize on this is our 2nd attempt to contact you call box95qu"
__label__0 "how i noe she in da car now later then c lar i wearing shorts"
__label__1 "free unlimited hardcore porn direct 2 your mobile txt porn to 69200 get free access for 24 hrs then chrgd 50p per day txt stop 2exit this msg is free"
__label__1 "you are a winner you have been specially selected to receive cash or a award speak to a live operator to claim call cost 10p"
__label__0 "good friends care for each other close friends understand each other and true friends stay forever beyond words beyond time gud ni8"
__label__0 "hi do u want to join me with sts later meeting them at five call u after class"
__label__0 "i think i am disturbing her da"
__label__0 "wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem"
__label__0 "oh just getting even with u u"
__label__0 "i just made some payments so dont have that much sorry would you want it fedex or the other way"
__label__0 "lol well quality aint bad at all so i aint complaining"
__label__0 "yalru lyfu astne chikku bt innu mundhe lyf ali halla ke bilo marriage program edhae so lyf is nt yet ovr chikku ali vargu lyfu meow meow"
__label__0 "din i tell u jus now 420"
__label__0 "thats cool princess i will cover your face in hot sticky cum"
__label__1 "private your 2003 account statement for 07973788240 shows 800 points call 08715203649 identifier code 40533 expires"
__label__0 "good words but words may leave u in dismay many times"
__label__0 "i dont want to hear philosophy just say what happen"
__label__0 "oh fine i be by tonight"
__label__0 "i tired of arguing with you about this week after week do what you want and from now on i do the same"
__label__0 "ü dun need to pick ur gf"
__label__0 "miles and smiles r made frm same letters but do u know d difference smile on ur face keeps me happy even though i am miles away from u keep smiling good nyt"
__label__0 "babe you said 2 hours and it been almost 4 is your internet down"
__label__0 "sounds like something that someone testing me would sayy"
__label__0 "yeah but which is worse for i"
__label__0 "hi test on lt gt rd"
__label__0 "if i was i was paying attention"
__label__0 "tee hee off to lecture cheery bye bye"
__label__0 "i can make it up there squeezed lt gt bucks out of my dad"
__label__0 "the table occupied i waiting by the tree"
__label__0 "yunny i walking in citylink now ü faster come down me very hungry"
__label__0 "you intrepid duo you have a great time and see you both soon"
__label__0 "si si i think ill go make those oreo truffles"
__label__0 "customer place i will call you"
__label__0 "lt gt am i think should say on syllabus"
__label__0 "sorry i call later"
__label__0 "u horrible gal u knew dat i was going out wif him yest n u still come n ask me"
__label__1 "private your 2003 account statement for 078"
__label__0 "k i ready lt gt"
__label__0 "okay i booked all already including the one at bugis"
__label__1 "double mins and txts 4 6months free bluetooth on orange available on sony nokia motorola phones call mobileupd8 on 08000839402 or"
__label__0 "hi di is yijue we meeting at 7 pm at esaplanade tonight"
__label__0 "any pain on urination any thing else"
__label__0 "he remains a bro amongst bros"
__label__0 "sorry da i gone mad so many pending works what to do"
__label__0 "this girl does not stay in bed this girl does need recovery time id rather pass out while having fun then be cooped up in bed"
__label__0 nite
__label__0 "i at work please call"
__label__0 "where to get those"
__label__1 "save money on wedding lingerie at choose from a superb selection with national delivery brought to you by weddingfriend"
__label__0 "is ur changes 2 da report big cos i already made changes 2 da previous report"
__label__0 "what the significance"
__label__0 "yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till 2 but we wo go there not doing too badly cheers you"
__label__0 "did try g and i decided not to head out"
__label__0 "alrite jod hows the revision goin keris bin doin a smidgin n e way u wan na cum over after college xx"
__label__0 "7 wonders in my world 7th you 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sms and 1st ur lovely friendship good morning dear"
__label__0 "i reach home safe n sound liao"
__label__1 "todays voda numbers ending 5226 are selected to receive a 350 award if you hava a match please call 08712300220 quoting claim code 1131 standard rates app"
__label__0 "tell your friends what you plan to do on valentines day lt url gt"
__label__0 "what are you doing in langport sorry but i probably be in bed by 9pm it sucks being ill at xmas when do you and go2sri lanka"
__label__0 "just nw i came to hme da"
__label__0 "kindly send some one to our flat before lt decimal gt today"
__label__0 "hey tmr meet at bugis 930"
__label__0 "bull your plan was to go floating off to ikea with me without a care in the world so i have to live with your mess another day"
__label__0 "kent vale lor ü wait 4 me there ar"
__label__0 "what are youdoing later sar xxx"
__label__0 "omg you can make a wedding chapel in frontierville why do they get all the good stuff"
__label__0 "bring it if you got it"
__label__0 "was actually about to send you a reminder today have a wonderful weekend"
__label__0 "i not coming home 4 dinner"
__label__0 "mm not entirely sure i understood that text but hey ho which weekend"
__label__1 "free entry into our weekly comp just send the word win to 80086 now 18 t c"
__label__0 "he also knows about lunch menu only da i know"
__label__0 "back in brum thanks for putting us up and keeping us all and happy see you soon"
__label__0 "they do put that stuff on the roads to keep it from getting slippery over there"
__label__0 "night has ended for another day morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay gud mrng"
__label__1 "reply with your name and address and you will receive by post a weeks completely free accommodation at various global locations"
